ERRO,COMANDO,NOMECAT,IDPRODUTO,CODPROD,NOMEPROD,PESO,DESCRICAO,DESCRLONGA,DESCRURL,URLTARGET,ESTOQUE,ESTOQUEMINIMO,DISPONIVEL,ICMS,CUSTO,PRECO,PRECOPROM,PRECOB2B,PRECOB2BPROM,DATAPROMINICIO,DATAPROMFIM,LANCAMENTO,EMDESTAQUE,IMAGEMPROD,IMAGEMDET,IMAGEMAMP,ADICIONAL1,ADICIONAL2,ADICIONAL3,ADICIONALD1,ADICIONALD2,ADICIONALD3,CORES,ORDEMPROD,IDPRODUTOPAI,RAMOPROD,MAISPROD,DATAVENCIMENTO,DIASAVISOVENCIMENTO,DIASREPOSICAO,IDPARCEIROPROD,MAXPARCELASPROD
"Máximo de produtos atingido","I","Estojo",0,"ST 000690","Cidade do Cairo",0,"","Com a cara do linho, o estojo escolar da coleção Cairo Apparatos é luxuosa e despretensiosa ao mesmo tempo. A cor é neutra e elegante. Seu visual natural é rústico, refinado e assume uma estética pura e autêntica inspirada no artesanal com um toque descontraído.

A solução do seu acessório sustentável com requinte.","",False,8,0,True,0,0,21,22,0,0,0,"","",False,False,"cairoP.png","cairoD.png,cairoD1.png","cairoA.png,cairoA1.png","","","","","","","",0,"",0,"","",30,15,"",0
"Máximo de produtos atingido","I","Estojo",0,"ST 000691","Cidade do Cairo",0,"","Com a cara do linho, o estojo escolar da coleção Cairo Apparatos é luxuosa e despretensiosa ao mesmo tempo. A cor é neutra e elegante. Seu visual natural é rústico, refinado e assume uma estética pura e autêntica inspirada no artesanal com um toque descontraído.

A solução do seu acessório sustentável com requinte.","",False,1,0,True,0,0,22,52,0,0,0,"","",False,False,"","","","","","","","","","",0,"",0,"","",0,0,"",0
"Máximo de produtos atingido","I","Estojo",0,"ST 000887","Cosmopolita",0,"","Os estojos escolares Apparatos Cosmopolita é a solução ideal para quem deseja um produto moderno e sustentável. Confeccionada com material sustentável não agredi o meio ambiente e com design moderno, clean e unissex, indicada para todas as idades a partir dos 14 anos.","",False,4,0,True,0,0,16,69,0,0,0,"","",False,False,"","","","","","","","","","",0,"",0,"","",0,0,"",0
"Máximo de produtos atingido","I","Estojo",0,"ST 000875","Lovers",0,"","As cores em neon fluorescentes sempre foram ligadas com estações quentes e cheia de vidas. O estojo escolar da linha Lovers possui cores alegres e vistosas e com design simples, porém, ousado.  O estojo possui o tema jovial e são perfeitos para quem busca uma maneira simples e com bom gosto de armazenar materiais pequenos que você possa usar no dia a dia como canetas e lápis. São itens com design clássico, cores vibrantes e detalhe metalizado no zíper.","",False,7,0,True,0,0,0,0,0,0,"","",False,False,"","","","","","","","","","",0,"",0,"","",0,0,"",0
"Máximo de produtos atingido","I","Estojo",0,"ST 000048","Mademoiselle Matelassê",0,"","Estojo escolar confeccionado em material sintético Matelassê. A coleção Mademoiselle traz requinte e sofisticação aos estojos da linha Matelassê. A mistura do clássico Matelassê preto com etiqueta emborrachada tem um resultado surpreendente, sofisticado e com presença. Ideal para organização do seu material escolar, escritório e até mesmo para colocar em sua mochila ou bolsa.","",False,10,0,True,0,0,19,28,0,0,0,"","",False,False,"","","","","","","","","","",0,"",0,"","",0,0,"",0
"Máximo de produtos atingido","I","Estojo",0,"ST 000026","Mademoiselle Matelassê",0,"","Estojo escolar confeccionado em material sintético Matelassê. A coleção Mademoiselle traz requinte e sofisticação aos estojos da linha Matelassê. A mistura do clássico Matelassê preto com etiqueta emborrachada tem um resultado surpreendente, sofisticado e com presença. Ideal para organização do seu material escolar, escritório e até mesmo para colocar em sua mochila ou bolsa.","",False,3,0,True,0,0,21,87,0,0,0,"","",False,False,"","","","","","","","","","",0,"",0,"","",0,0,"",0
"Máximo de produtos atingido","I","Estojo",0,"ST 000047","Mademoiselle Matelassê",0,"","Estojo escolar confeccionado em material sintético Matelassê. A coleção Mademoiselle traz requinte e sofisticação aos estojos da linha Matelassê. A mistura do clássico Matelassê preto com etiqueta emborrachada tem um resultado surpreendente, sofisticado e com presença. Ideal para organização do seu material escolar, escritório e até mesmo para colocar em sua mochila ou bolsa.","",False,4,0,True,0,0,21,87,0,0,0,"","",False,False,"","","","","","","","","","",0,"",0,"","",0,0,"",0
"Máximo de produtos atingido","I","Estojo",0,"ST 000032","Mademoiselle Rustic",0,"","Estojo escolar confeccionado em material sintético Matelassê. A coleção Mademoiselle traz requinte e sofisticação aos estojos da linha Matelassê. A mistura do clássico Matelassê P&B com detalhes em metal níquel traz um resultado surpreendente, sofisticado e com presença. Ideal para organização do seu material escolar, escritório e até mesmo para colocar em sua mochila ou bolsa.","",False,8,0,True,0,0,22,68,0,0,0,"","",False,False,"","","","","","","","","","",0,"",0,"","",0,0,"",0
"Máximo de produtos atingido","I","Estojo",0,"ST 000035","Mademoiselle Rustic",0,"","Estojo escolar confeccionado em material sintético Matelassê. A coleção Mademoiselle traz requinte e sofisticação aos estojos da linha Matelassê. A mistura do clássico Matelassê P&B com detalhes em metal níquel traz um resultado surpreendente, sofisticado e com presença. Ideal para organização do seu material escolar, escritório e até mesmo para colocar em sua mochila ou bolsa.","",False,3,0,True,0,0,21,87,0,0,0,"","",False,False,"","","","","","","","","","",0,"",0,"","",0,0,"",0
"Máximo de produtos atingido","I","Estojo",0,"ST 000014","Moletom",0,"","Estojo escolar confeccionado em malha, tons neutros e com detalhes em neon. Essa é a proposta da coleção Moletom que a Apparatos traz para quebrar paradigmas. Um ar confortável com muito charme e estilo. O casual dentro do contemporâneo ou seria o contemporâneo dentro do casual ? O tom cinza clássico sendo quebrado pela força das cores em neon. O toque da leveza com a sofisticação das cores. Essa é a proposta da coleção Moletom que traz o conforto do toque e design clean para organização do seu dia o dia seja na escola, escritório ou home office. Tamanho compactado ideal para ser transportado dentro de pastas, mochila ou bolsa.","",False,10,0,True,0,0,20,41,0,0,0,"","",False,False,"","","","","","","","","","",0,"",0,"","",0,0,"",0
"Máximo de produtos atingido","I","Estojo",0,"ST 000012","Moletom",0,"","Estojo escolar confeccionado em malha, tons neutros e com detalhes em neon. Essa é a proposta da coleção Moletom que a Apparatos traz para quebrar paradigmas. Um ar confortável com muito charme e estilo. O casual dentro do contemporâneo ou seria o contemporâneo dentro do casual ? O tom cinza clássico sendo quebrado pela força das cores em neon. O toque da leveza com a sofisticação das cores. Essa é a proposta da coleção Moletom que traz o conforto do toque e design clean para organização do seu dia o dia seja na escola, escritório ou home office. Tamanho compactado ideal para ser transportado dentro de pastas, mochila ou bolsa.","",False,9,0,True,0,0,20,41,0,0,0,"","",False,False,"","","","","","","","","","",0,"",0,"","",0,0,"",0
"Máximo de produtos atingido","I","Estojo",0,"ST 000020","Moletom",0,"","Estojo escolar confeccionado em malha, tons neutros e com detalhes em neon. Essa é a proposta da coleção Moletom que a Apparatos traz para quebrar paradigmas. Um ar confortável com muito charme e estilo. O casual dentro do contemporâneo ou seria o contemporâneo dentro do casual ? O tom cinza clássico sendo quebrado pela força das cores em neon. O toque da leveza com a sofisticação das cores. Essa é a proposta da coleção Moletom que traz o conforto do toque e design clean para organização do seu dia o dia seja na escola, escritório ou home office. Tamanho compactado ideal para ser transportado dentro de pastas, mochila ou bolsa.","",False,8,0,True,0,0,19,44,0,0,0,"","",False,False,"","","","","","","","","","",0,"",0,"","",0,0,"",0
"Máximo de produtos atingido","I","Estojo",0,"ST 000127","Moletom",0,"","Estojo escolar confeccionado em malha, tons neutros e com detalhes em neon. Essa é a proposta da coleção Moletom que a Apparatos traz para quebrar paradigmas. Um ar confortável com muito charme e estilo. O casual dentro do contemporâneo ou seria o contemporâneo dentro do casual ? O tom cinza clássico sendo quebrado pela força das cores em neon. O toque da leveza com a sofisticação das cores. Essa é a proposta da coleção Moletom que traz o conforto do toque e design clean para organização do seu dia o dia seja na escola, escritório ou home office. Tamanho compactado ideal para ser transportado dentro de pastas, mochila ou bolsa.","",False,4,0,True,0,0,21,87,0,0,0,"","",False,False,"","","","","","","","","","",0,"",0,"","",0,0,"",0
"Máximo de produtos atingido","I","Estojo",0,"ST 000016","Moletom",0,"","Estojo escolar confeccionado em malha, tons neutros e com detalhes em neon. Essa é a proposta da coleção Moletom que a Apparatos traz para quebrar paradigmas. Um ar confortável com muito charme e estilo. O casual dentro do contemporâneo ou seria o contemporâneo dentro do casual ? O tom cinza clássico sendo quebrado pela força das cores em neon. O toque da leveza com a sofisticação das cores. Essa é a proposta da coleção Moletom que traz o conforto do toque e design clean para organização do seu dia o dia seja na escola, escritório ou home office. Tamanho compactado ideal para ser transportado dentro de pastas, mochila ou bolsa.","",False,10,0,True,0,0,19,44,0,0,0,"","",False,False,"","","","","","","","","","",0,"",0,"","",0,0,"",0
"Máximo de produtos atingido","I","Estojo",0,"ST 000245","Office",0,"","Este estojo escolar faz parte da coleção Office que é inspirado no homem contemporâneo. A coleção Office traz sofisticação e charme ao seu ambiente de trabalho e estudo. Toque clássico com a elegância da costura caramelo traz um ar de sofisticação e bom gosto ao ambiente de maneira simples e clean. Até mesmo um ambiente formal se torna mais valorizado com seu toque de requinte. O estojo possui um design sóbrio, cor neutra e detalhe em presponto caramelo.","",False,10,0,True,0,0,17,82,0,0,0,"","",False,False,"","","","","","","","","","",0,"",0,"","",0,0,"",0
"Máximo de produtos atingido","I","Estojo",0,"ST 000246","Office",0,"","Este estojo escolar faz parte da coleção Office que é inspirado no homem contemporâneo. A coleção Office traz sofisticação e charme ao seu ambiente de trabalho e estudo. Toque clássico com a elegância da costura caramelo traz um ar de sofisticação e bom gosto ao ambiente de maneira simples e clean. Até mesmo um ambiente formal se torna mais valorizado com seu toque de requinte. O estojo possui um design sóbrio, cor neutra e detalhe em presponto caramelo.","",False,10,0,True,0,0,17,82,0,0,0,"","",False,False,"","","","","","","","","","",0,"",0,"","",0,0,"",0
"Máximo de produtos atingido","I","Estojo",0,"ST 000286","Office",0,"","Este estojo escolar faz parte da coleção Office que é inspirado no homem contemporâneo. A coleção Office traz sofisticação e charme ao seu ambiente de trabalho e estudo. Toque clássico com a elegância da costura caramelo traz um ar de sofisticação e bom gosto ao ambiente de maneira simples e clean. Até mesmo um ambiente formal se torna mais valorizado com seu toque de requinte. O estojo possui um design sóbrio, cor neutra e detalhe em presponto caramelo.","",False,3,0,True,0,0,17,82,0,0,0,"","",False,False,"","","","","","","","","","",0,"",0,"","",0,0,"",0
"Máximo de produtos atingido","I","Estojo",0,"ST 000294","Office",0,"","Este estojo escolar faz parte da coleção Office que é inspirado no homem contemporâneo. A coleção Office traz sofisticação e charme ao seu ambiente de trabalho e estudo. Toque clássico com a elegância da costura caramelo traz um ar de sofisticação e bom gosto ao ambiente de maneira simples e clean. Até mesmo um ambiente formal se torna mais valorizado com seu toque de requinte. O estojo possui um design sóbrio, cor neutra e detalhe em presponto caramelo.","",False,1,0,True,0,0,17,82,0,0,0,"","",False,False,"","","","","","","","","","",0,"",0,"","",0,0,"",0
"Máximo de produtos atingido","I","Estojo",0,"ST 000241","Office",0,"","Este estojo escolar faz parte da coleção Office que é inspirado no homem contemporâneo. A coleção Office traz sofisticação e charme ao seu ambiente de trabalho e estudo. Toque clássico com a elegância da costura caramelo traz um ar de sofisticação e bom gosto ao ambiente de maneira simples e clean. Até mesmo um ambiente formal se torna mais valorizado com seu toque de requinte. O estojo possui um design sóbrio, cor neutra e detalhe em presponto caramelo.","",False,2,0,True,0,0,19,12,0,0,0,"","",False,False,"","","","","","","","","","",0,"",0,"","",0,0,"",0
"Máximo de produtos atingido","I","Estojo",0,"ST 000058","Queóps",0,"","Este estojo escolar faz parte da coleção Queóps, que é inspirada na Pirâmide de Queóps, uma das Sete Maravilhas do Mundo. Com sua geometria e suas tramas em formas de pirâmides em cadeia, buscando o efeito do infinito e seu relevo 3D, a coleção oferece um movimento por meio do seu efeito ótico. Em cores metalizadas sortidas. Ideal para organização do seu material escolar, escritório até mesmo para colocar em sua mochila ou bolsa.","",False,10,0,True,0,0,21,87,0,0,0,"","",False,False,"","","","","","","","","","",0,"",0,"","",0,0,"",0
"Máximo de produtos atingido","I","Estojo",0,"ST 000329","Queóps",0,"","Este estojo escolar faz parte da coleção Queóps, que é inspirada na Pirâmide de Queóps, uma das Sete Maravilhas do Mundo. Com sua geometria e suas tramas em formas de pirâmides em cadeia, buscando o efeito do infinito e seu relevo 3D, a coleção oferece um movimento por meio do seu efeito ótico. Em cores metalizadas sortidas. Ideal para organização do seu material escolar, escritório até mesmo para colocar em sua mochila ou bolsa.","",False,9,0,True,0,0,20,25,0,0,0,"","",False,False,"","","","","","","","","","",0,"",0,"","",0,0,"",0
"Máximo de produtos atingido","I","Estojo",0,"ST 000063","Queóps",0,"","Este estojo escolar faz parte da coleção Queóps, que é inspirada na Pirâmide de Queóps, uma das Sete Maravilhas do Mundo. Com sua geometria e suas tramas em formas de pirâmides em cadeia, buscando o efeito do infinito e seu relevo 3D, a coleção oferece um movimento por meio do seu efeito ótico. Em cores metalizadas sortidas. Ideal para organização do seu material escolar, escritório até mesmo para colocar em sua mochila ou bolsa.","",False,1,0,True,0,0,21,87,0,0,0,"","",False,False,"","","","","","","","","","",0,"",0,"","",0,0,"",0
"Máximo de produtos atingido","I","Estojo",0,"ST 000021","Queóps",0,"","Este estojo escolar faz parte da coleção Queóps, que é inspirada na Pirâmide de Queóps, uma das Sete Maravilhas do Mundo. Com sua geometria e suas tramas em formas de pirâmides em cadeia, buscando o efeito do infinito e seu relevo 3D, a coleção oferece um movimento por meio do seu efeito ótico. Em cores metalizadas sortidas. Ideal para organização do seu material escolar, escritório até mesmo para colocar em sua mochila ou bolsa.","",False,1,0,True,0,0,21,87,0,0,0,"","",False,False,"","","","","","","","","","",0,"",0,"","",0,0,"",0
"Máximo de produtos atingido","I","Estojo",0,"ST 000023","Queóps",0,"","Este estojo escolar faz parte da coleção Queóps, que é inspirada na Pirâmide de Queóps, uma das Sete Maravilhas do Mundo. Com sua geometria e suas tramas em formas de pirâmides em cadeia, buscando o efeito do infinito e seu relevo 3D, a coleção oferece um movimento por meio do seu efeito ótico. Em cores metalizadas sortidas. Ideal para organização do seu material escolar, escritório até mesmo para colocar em sua mochila ou bolsa.","",False,1,0,True,0,0,21,87,0,0,0,"","",False,False,"","","","","","","","","","",0,"",0,"","",0,0,"",0
"Máximo de produtos atingido","I","Estojo",0,"ST 000683","Street Style",0,"","A Apparatos apresenta a grande tendência para o próximo verão, a Coleção Street Style. Estojos escolares confeccionados em jeans com patches, aqueles recortes de tecidos bordados em formatos de desenhos animados, bichinhos, formas geométricas, emojis e outros símbolos variados em bordados altos colantes que estão pipocando em todos os lugares. Agora, eles retornam como uma mania divertida de customização de roupas, bolsas, estojos e acessórios.","",False,10,0,True,0,0,24,3,0,0,0,"","",False,False,"","","","","","","","","","",0,"",0,"","",0,0,"",0
"Máximo de produtos atingido","I","Estojo",0,"ST 000684","Street Style",0,"","A Apparatos apresenta a grande tendência para o próximo verão, a Coleção Street Style. Estojos escolares confeccionados em jeans com patches, aqueles recortes de tecidos bordados em formatos de desenhos animados, bichinhos, formas geométricas, emojis e outros símbolos variados em bordados altos colantes que estão pipocando em todos os lugares. Agora, eles retornam como uma mania divertida de customização de roupas, bolsas, estojos e acessórios.","",False,10,0,True,0,0,25,76,0,0,0,"","",False,False,"","","","","","","","","","",0,"",0,"","",0,0,"",0
"Máximo de produtos atingido","I","Estojo",0,"ST 000685","Street Style",0,"","A Apparatos apresenta a grande tendência para o próximo verão, a Coleção Street Style. Estojos escolares confeccionados em jeans com patches, aqueles recortes de tecidos bordados em formatos de desenhos animados, bichinhos, formas geométricas, emojis e outros símbolos variados em bordados altos colantes que estão pipocando em todos os lugares. Agora, eles retornam como uma mania divertida de customização de roupas, bolsas, estojos e acessórios.","",False,3,0,True,0,0,27,38,0,0,0,"","",False,False,"","","","","","","","","","",0,"",0,"","",0,0,"",0
"Máximo de produtos atingido","I","Estojo",0,"ST 000038","Versailles",0,"","O estojo escolar de veludo azul marinho da linha Versailles teve seu conceito inspirado no Pálacio de Versalhes na França, residência privilegiada da monarquia de Luís XIV a Luís XVI. A coleção Versailles traz o requinte extremo da nobreza e é retratada com tecidos nobres como o veludo e o tear que roubam a cena quando misturados ao verniz e Arabescos e brocados compõem o Barroco da época. O veludo é um tecido que naturalmente já tem um toque de sofisticação e elegância e com design prático e clean, o estojo de veludo da linha Versailles se encaixa perfeitamente para ser usado em vários lugares do dia a dia sendo na escola, escritório, bolsa e mochilas. O toque da nobreza no seu dia a dia.
","",False,2,0,True,0,0,21,06,0,0,0,"","",False,False,"","","","","","","","","","",0,"",0,"","",0,0,"",0
"Máximo de produtos atingido","I","Estojo",0,"ST 000809","Super In",0,"","Atemporais, clássicos, que nunca saem de moda, a coleção Super In apresenta o clássico jeans. O bom e velho jeans combina praticamente com quase tudo.  Cômodo e descontraído, a coleção aborda o tema da simplicidade e autoridade que o jeans marcou como vestimenta na sociedade. Adequado para qualquer lugar e situação, os estojos escolares da Super In são ideais para todos os estilos e faixa etária.","",False,3,0,True,0,0,0,0,0,0,"","",False,False,"","","","","","","","","","",0,"",0,"","",0,0,"",0
